0,-41.8
0.002,-34.1
0.004,-30
0.006,-28.2
0.008,-31.3
0.01,-36.3
0.012,-43.1
0.014,-47.9
0.016,-46.3
0.018,-40
0.02,-31.8
0.022,-24.5
0.024,-19.1
0.026,-16.7
0.028,-18.3
0.03,-22.6
0.032,-29.2
0.034,-32.5
0.036,-31.8
0.038,-25.1
0.04,-16.7
0.042,-8.87
0.044,-4.03
0.046,-1.8
0.048,-3.39
0.05,-8.42
0.052,-15.6
0.054,-19.9
0.056,-19.6
0.058,-13.5
0.06,-5.43
0.062,1.58
0.064,6.48
0.066,8.4
0.068,6.55
0.07,1.58
0.072,-5.11
0.074,-9.13
0.076,-9.06
0.078,-3.77
0.08,5.53
0.082,13.4
0.084,17.8
0.086,20.2
0.088,18.6
0.09,14.1
0.092,8.14
0.094,3.87
0.096,4.38
0.098,10.9
0.1,19.5
0.102,26.9
0.104,32.2
0.106,34
0.108,32.2
0.11,27.6
0.112,20.8
0.114,16.3
0.116,16.5
0.118,21.8
0.12,30.2
0.122,37.3
0.124,41.5
0.126,43.2
0.128,41.1
0.13,35.7
0.132,28.2
0.134,23.4
0.136,22.9
0.138,28.1
0.14,35
0.142,41.8
0.144,45.4
0.146,45.7
0.148,42.8
0.15,37.5
0.152,29.3
0.154,24.5
0.156,23.1
0.158,28.1
0.16,35
0.162,41.3
0.164,44.9
0.166,46.3
0.168,42.7
0.17,37.4
0.172,29.5
0.174,23.9
0.176,22.4
0.178,27.5
0.18,34.6
0.182,41.1
0.184,44.7
0.186,45.4
0.188,42.5
0.19,36.4
0.192,28.8
0.194,23.8
0.196,22.4
0.198,27.8
0.2,34.3
0.202,40.6
0.204,44.6
0.206,45.3
0.208,42.4
0.21,37.1
0.212,29
0.214,23.6
0.216,23.2
0.218,26.9
0.22,34.4
0.222,41.1
0.224,44.6
0.226,46
0.228,42.7
0.23,37
0.232,29.2
0.234,23.9
0.236,22.4
0.238,27.5
0.24,34.4
0.242,40.4
0.244,44.4
0.246,45
0.248,42.2
0.25,36.9
0.252,29
0.254,23.4
0.256,22
0.258,26.4
0.26,33.4
0.262,39.8
0.264,43.2
0.266,44.1
0.268,41
0.27,35.3
0.272,28.1
0.274,22.8
0.276,21.6
0.278,25.9
0.28,32.2
0.282,38.6
0.284,42
0.286,42.9
0.288,39.7
0.29,34.4
0.292,26.7
0.294,21.4
0.296,20.1
0.298,24.1
0.3,31
0.302,36.9
0.304,40.2
0.306,41.5
0.308,38.3
0.31,32.9
0.312,25.7
0.314,20.3
0.316,19
0.318,22.8
0.32,29.7
0.322,35.7
0.324,39
0.326,39.7
0.328,37.4
0.33,31.7
0.332,24.3
0.334,19.2
0.336,18
0.338,22
0.34,28.6
0.342,34.1
0.344,37.9
0.346,38.7
0.348,36
0.35,30.4
0.352,23.1
0.354,17.6
