time_center,window_mse,window_pearson_r,overall_mse,overall_pearson_r,dtw_distance,max_cross_correlation,lag_samples,lag_seconds
0.05,0.058754912984,-0.412348203719598,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.07,0.05532675293000001,0.25223217445659174,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.09,0.024841411896000004,0.7932900804185172,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.11,0.006719337329999998,0.9810692608203626,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.13,0.006077526333999999,0.9894041379807227,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.15,0.028914157118000015,0.9997104090415995,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.17,0.0696482604519999,0.9997201861234761,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.19,0.16998329086000002,0.9997569195169388,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.21,0.3138896580440001,0.999744059853752,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.23,2.4114764243820006,0.9974288792543516,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.25,5.601452627046001,0.9891397485442289,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.27,26.623145128140003,0.9366728900377564,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.29,30.786154628376003,0.9485104016057353,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.31,35.497306615313995,0.9288504218431726,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.33,34.60058363584599,0.9328341041649867,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.35,31.730079683419998,0.9453867772278051,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.37,11.323307942591999,0.9883145567480278,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.39,7.238986921229997,0.9979353498114883,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.41,6.669530256604,0.9801772284821223,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.43,19.788950550919996,0.9475630828665343,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.45,28.10955918608399,0.9861764297965323,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.47,31.868518688649992,0.978737317366099,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.49,49.02572807185999,0.9370804942916676,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.51,49.09614842312999,0.9314509195488092,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.53,34.83492374686999,0.970836406900186,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.55,26.558582530203992,0.9890450915752895,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.57,22.432493711083993,0.9937914613378548,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.59,5.243142912714001,0.9680595724825103,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.61,0.9676535032640002,0.9836382776794779,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.63,0.91678821834,0.9226146870031684,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.65,0.586415928948,-0.2699756835893235,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.67,0.43523944126399994,-0.5607569347214362,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.69,0.341188377948,-0.46380905487633334,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.71,0.25952208854,-0.5535556442193091,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.73,0.254287414212,-0.6318379673395135,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
0.75,0.21784730401000002,-0.8982946545649086,11.58323038087456,0.9864380641987389,138.74249000000015,0.9864380641987386,0,0.0
